Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
wireless mobile computing (mobile computing) | Computing that connects a mobile device to a network or another computing device, anytime, anywhere.
wireless wide area network (WWAN) | A telecommunications network that offers wireless coverage over a large geographical area, typically over a cellular phone network.
worm | A software program that runs independently, consuming the resources of its host in order to maintain itself, that is capable of propagating a complete working version of itself onto another machine.
zombies | Computers infected with malware that are under the control of a spammer, hacker, or other criminal.
A method of doing business by which a company can generate revenue to sustain itself is called: | Business model
_____ refers to a broader definition of _____. | . E-Commerce, E-Business
An ______ is a virtual marketplace in which sellers and buyers meet and conduct different types of transactions. | e-store
Intrabusiness EC is usually performed over intranets and/or _____. | P2P networks
What is a benefit of e-auctions to sellers? | Convenience since the bidding can occur anywhere and any time.
In a ______, one company sells to many business buyers from e-catalogs or auctions, usually over an extranet. | sell-side e-marketplace
____ are retailers who conduct business in the physical world, in traditional stores | Brick-and-mortar distributors
_____ includes retail transactions of products/services from businesses to individual shoppers. | B2C
Selling products/services online is called: | Viral Marketing
Companies exchange surpluses they do not need for things that they do need. So, they are using: | Membership EC Business Model
Finding relevant and accurate information is often time-consuming and requires access to multiple systems causing organizations to lose a lot of productive employee time. One solution to this problem is the use of: | intermediaries
The _____ support area includes: sellers, buyers, intermediaries, information systems specialists, other employees | public policy
Disintermediation describes: | the introduction of new intermediaries within the channel structure
Customers must pay a fixed amount, usually monthly, to get some type of services from AOL. So, AOL is using: | Transaction Fees Revenue Model
All the activities that are related to order aggregation and fulfillment, inventory management, purchasing from suppliers, accounting and finance, insurance, payment processing, packaging, and delivery are done in what is called the ______ of the business. | front end
Most of the social-networking sites expect to earn revenue from: | Transaction Fees
A special type of intermediary in e-commerce is the B2B _____ which connect manufacturers with business buyers, such as retailers or resellers in the computer industry. | e-distributor
Which types of services are outsourced the most? | IT services are most often outsourced.
Describe the basic EIPP options. | A variety of online options are available for making payments in an EIPP system. Each differs in terms of cost, speed, auditability, accessibility, and control. Some options include: ACH Network, Purchasing Cards, Fedwire or Wire Transfer, Letters of Credit for Global Payments
Which is true when talk about "e-check"? | All of the above
three RFID supply chain applications are: | Food, Labeling and Inventory
search engine spam refer to: | Pages created deliberately tot rick the search engine into offering inappropriate, redundant, or poor-quality search results.
What is the three models of EIPP? | Buyer, Seller, and Consolidator
What is a closed-loop stored-value card? | A card can only be spent for its initial value
What is cybercrime? | Intentional crimes carried out on the Internet.
Two innovative e-strategies for order fulfillment are: | merge-in-transit and rolling warehouses
Describe how to effectively manage the return of items | There are several different methodologies for return handling, including returning the item to the place where it was purchased, separate logistics for returns, outsourcing returns, and physically dropping off the returned items to collection stations.
Describe issues in B2B fulfillment | The major issues are shipment size, multiple distribution channels, variety of shipment frequency, uneven breadth of carrier services, fewer carrier EC offerings, and complex EC transaction paths.
What are the key elements of PKI? | A pair of matched keys a public key to encrypt a message and a private key to decrypt it, or vice versa
Strategic planning is used to direct a companys long term goals. The process is a cycle of assessment, initiation, formulation, and implementation. | True
What strategic benefits are associated with using social networks? | They allow a business to better access customers for sales, feedback and research.
What is cybercriminal? | A person who intentionally carries out crimes over the Internet.
the factors that are critical for an e-payment method to achieve critical mass | All of above
3. A is a private corporate network | intranet
4. A... application is one that the company | mission critical
5. Web sites use __________ to compile personal | cookies&registration forms
7. __________ is/are used to pay for microtransactions | either e-cash or difital cash
10. What are the basic elements of e-commerce | Web-based storefronts, secure Web sites,
16. __________ are used by consumers to locate | shoppingbots
17. When measuring the effectiveness on an online advertisemen | click-throughrate
18. he general premise of __________ is to effectively | supplychainmanagement
19. What is true regarding competitive advantage? | it is difficult to sustain
22. A __________ is an existing, often relatively | legacyapplication
1) According to the CSI Computer Crime and Security Survey, firewalls were the most commonly used defense technologies in 2008. | FALSE
2) According to the CSI Computer Crime Security Survey, the most frequently occurring computer attacks were from viruses in 2008. | TRUE
3) The Internet and its network protocols were never intended for use by untrustworthy people or criminals. | TRUE
6) An EC security strategy requires multiple layers of defense against risks from malware, fraudsters, customers, and employees. | TRUE
7) Detection measures are actions that will make criminals abandon their idea of attacking a specific system. | FALSE
8) Internet fraud has grown even faster than the Internet itself. | TRUE
9) Confidentiality, integrity, and awareness are the three components of the CIA security triad. | FALSE
10) Encryption algorithm is the mathematical formula used to encrypt plaintext into ciphertext, and vice versa. | TRUE
11) Strong EC security makes online shopping more convenient for customers. | FALSE
12) Shoppers can rely on fraud protection provided by credit card issuers to protect them from identity theft. | FALSE
14) Which of the following is the underlying reason why comprehensive EC security is necessary? | C) Security costs and efforts from reacting to online attacks and paying for damages are greater than if an EC security strategy is in place.
18) ________ is the process of determining what the authenticated entity is allowed to access and what operations it is allowed to perform. | Authorization
19) ________ is the assurance that online customers or trading partners cannot falsely deny their purchase or transaction. | Nonrepudiation
20) ______________ is the assurance that data are accurate or that a message has not been altered. | Integrity
21) ________ is the assurance of data privacy. | Confidentiality
22) ________ is the process of scrambling a message in such a way that it is difficult, expensive, or time-consuming for an unauthorized person to unscramble it. | Encryption
23) ________ are barriers between a trusted network or PC and the untrustworthy Internet. | Firewalls
24) Compare current motives of hackers to those of the past. | In the early days of EC, many hackers simply wanted to gain fame or notoriety by defacing Web sites or gaining root, which means gaining unrestricted access to a network. Criminals and criminal gangs are now profit oriented, and their tactics are not limited to the online world.
25) List and briefly describe the three components of the CIA security triad. | The CIA triad includes confidentiality, integrity, and availability. Confidentiality is the assurance of data privacy. The data or transmitted message is encrypted so that it is readable only by the person for whom it is intended. The confidentiality function prevents unauthorized disclosure of information. Integrity is the assurance that data are accurate or that a message has not been altered. It means that stored data has not been modified without authorization; a message that was sent is the same message that was received. Availability is the assurance that access to data, the Web site, or other EC data service is timely, available, reliable, and restricted to authorized users.
26) List the six major objectives of EC defense strategies. | Prevention and deterrence, detection, containment, recovery, correction, and awareness and compliance are the six objectives.
27) Briefly discuss the five encryption components. | The five components are plaintext, encryption algorithm, key or key value, key space, and ciphertext. Plaintext is the original message or document that is created by the user and is in human-readable form. The encryption algorithm is the set of procedures or mathematical functions used to encrypt or decrypt a message. The key or key value is the secret value used with the algorithm to transform the message. Key space refers to the large number of possible key values created by the algorithm to use when transforming the message. Ciphertext is the message or document that has been encrypted into unreadable form.
28) Briefly describe four major components for protecting internal information flow inside an organization. | Firewall, virtual private network, intrusion detection system, and honeynet and honeypot are four components. A firewall is a single point between two or more networks where all traffic must pass; the device authenticates, controls, and logs all traffic. A virtual private network is a network that uses the public Internet to carry information but remains private by using encryption to scramble the communications, authentication to ensure that information has not been tampered with, and access control to verify the identity of anyone using the network. Intrusion detection systems are a special category of software that monitor activity across a network or on a host computer, watch for suspicious activity, and take automated action based on what it sees. A honeynet is a network of honeypots, and honeypots act as decoys and are watched to study how network intrusions occur.
1. Preventing vulnerability during the EC design and pre-implementation stage is far more expensive than mitigating problems later. | False
1. One problem with the Address Verification System (AVS) for fraud prevention is the number of false positives, meaning that the merchant rejects a valid order. | True
3. The disintermediation of cash and credit cards has been successful in the online world. | False
9. A file containing customer status and customer information that is used when processing transactions to identify known problem customers is a: | negative list.
1) A major objective of Web 2.0 is to enhance creativity, information sharing, and collaboration. | TRUE
2) One of the most significant differences between Web 2.0 and the traditional Web is the greater collaboration among Internet users and other users, content providers, and enterprises. | TRUE
3) Lightweight programming techniques and tools letting nearly anyone act as a Web site developer is a representative characteristic of Web 2.0. | TRUE
4) A criticism of Web 2.0 is the inability to create new business models. | FALSE
5) One of the major phenomena of Web 2.0 is the emergence and rise of e-auctions. | FALSE
6) A key feature of social media is that users control and use the media, often at little or no cost. | TRUE
7) Social media is limited to text and images. | FALSE
8) Companies that introduce a significant change in their industries, thus causing disruption in business operations, are referred to as disruptors. | TRUE
9) Disruption did not occur in the real estate brokerage industry. | FALSE
10) Most social networks, such as LinkedIn and Weibo, are private communities. | FALSE
11) Social network analysis provides both a visual and a mathematical analysis of relationships where the nodes in the network are the people or groups, and the links show relationships between nodes. | TRUE
12) Interactions within mobile social networks are currently limited to exchanging simple text messages on a one-to-one basis. | FALSE
13) Business-oriented social networks are owned and operated within one enterprise, and their members are usually employees of the enterprise. | FALSE
14) Walmart's corporate social network is a major success. | FALSE
15) According to an InformationWeek survey of business technology experts, wikis are the most useful Web 2.0 tools in Enterprise 2.0. | FALSE
16) Web 2.0 applications enable segmented advertising. | TRUE
17) Viral blogging is viral marketing done by bloggers. | TRUE
18) Apple and Google undertook a formal merger to offer iPhone capabilities, such as delivering Google services through Apple hardware. | FALSE
19) Choppy connectivity is one of four trends that may slow EC and Web 3.0 and even cripple the Internet. | TRUE
20) Which of the following is not an interaction element in a virtual community? | e-book
21) Which of the following types of virtual communities just facilitates the exchange of information on a topic of mutual interest and does not support trading? | purpose or interest
22) Which of the following refers to the mapping and measuring of relationships and flows between people, groups, organizations, animals, computers or other information- or knowledge-processing entities? | social network analysis
23) Which of the following connects a circle of Weblogs with a common focus or theme? | blogring
24) A type of mobile social networking where the company does not have a relationship with a wireless carrier is: | off-deck.
25) A(n) ________ is defined as a group of people that have some kind of commercial or business relationship such as the relationships between sellers and buyers, buyers among themselves, buyers and suppliers, and colleagues and other colleagues. | business network
26) A ________ is a social network whose primary objective is to facilitate business connections and activities. | business social network
27) Guidelines regarding enterprise social networking activities include: | all of the above.
28) Companies can interface with social networking in each of the following ways except: | sending flyers to customer mailboxes.
29) Technologies and business practices that free the workforce from the constraints of legacy communication and productivity tools such as e-mail describes: | Enterprise 2.0.
30) An online community that harnesses the power of one's social networks for the introduction, buying, and selling of products, services, and resources, including one's own creations describes: | social marketplace.
31) Each of the following is a way social networks generate revenues except; | hosting auctions for individuals or enterprises.
32) A ________ is a collaborative online encyclopedia jointly written by volunteers. | wiki
33) ________ is the popular term for advanced Internet technology and applications including blogs, wikis, RSS, and social bookmarking. | Web 2.0
34) The online platforms and tools that people use to share opinions and experiences, including photos, videos, music, insights, and perceptions with each other are known as ________. | social media
35) Companies that introduce innovations that significantly change markets or entire industries due to their activities are referred to as ________. | disruptors
36) A ________ is a group of people with a common interest who interact on the Internet. | virtual (Internet) community
37) ________ communities open their membership to anyone. | Public
38) ________ communities belong to a company, an association, or a group of companies. | Private
39) ________ refers to the mapping and measuring of relationships and information flows among people, groups, organizations, computers, and other information- or knowledge-processing entities. | Social network analysis
40) ________ refers to social networking where members converse and connect with one another using cell phones or other mobile devices. | Mobile social networking
41) A ________ is a group of people who have some kind of commercial or business relationship. | business network
42) ________ refers to technologies and business practices that free the workforce from the constraints of legacy communication and productivity tools such as email. | Enterprise 2.0
43) The term ________ is an online community that uses the power of social networks for the introduction, buying, and selling of products and services, including people's own creations. | social marketplace
44) ________ is viral marketing done by bloggers. | Viral blogging
45) Companies are finding that ________ outlets, such as blogs and wikis, not only generate faster and cheaper results than traditional focus groups, but also foster closer relationships with customers. | conversational marketing
46) Define Web 2.0. Identify five characteristics. | Web 2.0 is a popular term for advanced Internet technology and applications, including blogs, wikis, RSS, and social bookmarking. Its characteristics include the ability to tap into the collective intelligence of users; making data available in new or never-intended ways; relying on user-generated and user-controlled content and data; lightweight programming techniques and tools, and letting nearly anyone act as a Web site developer.
47) What is a virtual community? Identify six common classifications. | A virtual community is a group of people with similar interests who interact with one another using the Internet. Six common classifications are transaction, purpose or interest, relations or practices, fantasy, social networks, and virtual worlds.
48) Identify five guidelines for enterprise social networking activities. | Five guidelines include allowing employees to collaborate and communicate in an employee-driven system; promoting the use of enterprise wikis via demonstrations; setting up internal blogs and incorporating them into internal directories so users can see who has a blog; setting up enterprise social bookmarking systems so users can see what sort of content their colleagues are tagging; and CIOs should be involved from the beginning to make sure the right infrastructure and tools are in place.
49) Define Web 3.0. Identify five characteristics of Web 3.0. | Web 3.0 consists of the creation of high-quality content and services produced by gifted individuals using Web 2.0 technology as an enabling platform. Web 3.0 will provide faster, far-flung connectivity and richer ways of interacting; new Web services that work entirely within a browser window; more powerful search engines; new artificial intelligence applications, and more uses of 3D tools.
50) Identify four trends that may slow EC and Web 3.0 and even cripple the Internet. | Security concerns, lack of net neutrality, copyright complaints, and choppy connectivity are four trends.
1. Define e-government. | E-government is the use of IT and e-commerce to provide access to government information and delivery of public services to citizens and business partners.
2. What are the four major categories of e-government services? | The four categories are: government-to-citizens, government-to-business, government-to-government and government-to-employees.
3. Describe G2C. | The government-to-citizens model includes all interactions between a government and its citizens. This model is meant to increase efficiencies and create greater transparency to citizens.
4. Describe how EBT works. | The EBT system allows the government to electronically transfer benefits to citizen's smart cards instead of sending checks or other vouchers.
5. Describe the two main areas of G2B activities. | The two main areas of government to-business activities include electronic procurement where the government purchases goods from the private sector, and electronic auctions where the government electronically auctions surplus goods to businesses.
6. Describe internal efficiency e-government activities. | These activities are meant to increase operation efficiencies though the use of IT systems and processes.
1. Caterpillar Inc. created CAT U to meet its training and learning needs. | True
2. The government-to-employees category consists of EC activities between units of government, including those within one government body. | False
3. The topic of e-learning is gaining much attention, especially because world-class universities such as MIT, Harvard, and Stanford in the United States and Oxford in the United Kingdom are implementing it. | True
4. One of the facilitators of e-learning is ________ technologies, such as blogs and wikis. | Web 2.0
5. E-learning drivers driving the transition from traditional education to online learning include each of the following except: | faculty with specialized expertise.
6. Knowledge management uses knowledge: | to improve the functioning of an organization.
7. Expertise location systems are designed to: | do all of the above.
8. Which of the following is the central point of control for an e-market? | collaboration hub
9. Updating knowledge as time progresses describes: | knowledge evolution.
10. E-books are delivered in each of the following ways except: | via RFID.
11. The wireless implementation of e-government mostly to citizens but also to businesses best describes: | mobile government.
12. Which of the following is the e-government category that includes interactions between governments and businesses? | government-to-business.
14. A focal point for all corporate training and learning activities, including online ones best describes: | learning center.
15. According to an Australian Government 2.0 task force report, by embracing Government 2.0 governments can: | do all of the above.
16. Governments use Web 2.0 tools mainly for: | collaboration, dissemination of information, e-learning, online forums, and citizen engagement.
17. Each of the following is an example of e-government except a: | eBay-seller selling surplus army supplies.
18. Potential drawbacks of e-learning include each of the following except: | knowledge retention is lower than in traditional classrooms.
19. The online delivery of information for purposes of education, training, or knowledge management best describes: | B. e-learning.
20. Expanding access to information for people with disabilities is a performance objective of which category of e-government? | G2C
21. Which of the following provides learning to an employee while the work is being done? | learning on-demand
22. The process of capturing or creating knowledge, storing it, updating it constantly, disseminating it, and using it whenever necessary best describes: | knowledge management.
1. B2C and B2B orders have similar order-fulfillment processes and pricing models. | False
2. B2B EC can increase the efficiency and effectiveness of supply chains or dramatically change the supply chain by eliminating one or more intermediaries. | True
3. Strategic sourcing refers to purchases involving long-term contracts that usually are based on private negotiations between sellers and buyers. | True
4. Each of the following is a major type of B2B structural model except: | collaborative union.
The purchase of goods and services as they are needed, usually at prevailing market prices is referred to as: | spot buying.
6. Benefits of e-procurement over traditional procurement methods include each of the following except: | increasing the skill requirements and training needs of purchasing agents.
7. All are benefits of B2B except: | B2B increases channel conflict.
8. An example of a successful aggregation of suppliers' catalogs is that of ________, which aggregates more than 10,000 items from the catalogs of approved suppliers into an internal electronic catalog. | MasterCard International
9. The two types of materials and supplies traded in B2B are: | direct and indirect.
10. Nonproduction materials, such as office supplies, that support production are called: | indirect materials.
11. With a bartering exchange, a company submits its surplus to the exchange and receives: | points of credit, which the company can then use to buy items that it needs.
12. Companies use ________ to sell their unneeded assets for quick disposal or to dispose of excess, obsolete, and returned products. | forward auctions
13. Companies will usually separate B2C orders from B2B orders because B2C and B2B orders have different: | order-fulfillment processes and pricing models.
14. Markets that deal with one industry or industry segment are: | vertical marketplaces.
15. Purchases of goods and services based on long-term contracts is referred to as: | strategic sourcing.
16. B2B only includes electronic transactions between businesses conducted over the public Internet. | False
17. In company-centric marketplaces, the individual company has very little control over who participates in selling or buying transactions. | False
23. The way government makes use of Web 2.0 technologies to interact with citizens and provide government services best describes: | Government 2.0.
24. Which of the following is the e-government category that includes activities and services between government units and their employees? | government-to-employees
25. Potential advantages of e-learning include each of the following except: | college professors are anxious to develop new online courses.
26. An online university from which students take classes from home or other offsite locations, usually via the Internet best describes: | virtual university.
27. An example of G2C is a: | driver paying for the renewal of his auto tag online.
28. A system that locates, extracts, and provides specific answers to user questions expressed in natural language best describes: | automated question-answer.
29. Which of the following is the e-government category that includes all the interactions between a government and its citizens? | government-to-citizens.
30. Benefits of e-learning include: | all of the above.
31. Formal education that takes place off campus, usually, but not always, through online resources best defines: | distance learning.
32. The three major elements of Caterpillar Inc.'s learning infrastructure include: | all of the above.
33. The primary advantage that e-books offer publishers is: | lower production, marketing, and distribution costs.
34. Learning, training, and knowledge sharing in social networks and by using social software tools for learning best describes: | social learning.
35. Which of the following is the e-government category that includes activities within government units and those between governments? | government-to-government
36. The major tasks of knowledge management include each of the following except: | supplementing knowledge.
37. Software applications for the administration, documentation, tracking, and reporting of training programs, classroom and online events, e-learning programs and training content best describes: | learning management systems.
1. Why is being number one in operation efficiency not enough to keep 1-800-Flowers.com at the top of its industry? | More is needed because all other competitors offer similar efficiencies.
2. How was the transformation to a customer-intimate business accomplished? | The company uses extensive SAS decision support and data mining software.
3. What is the role of data mining? | It allows the firm to anticipate customer needs.
4. Why must the online presence and the telephone system be integrated? | So that all data constantly and consistently enters the system.
5. How is the one-to-one relationship achieved? | By understanding a customers preferences and needs based on past transactions.
1) Finding and retaining customers is a major critical success factor for most offline and online businesses. | TRUE
2) One of the keys to building effective customer relationships is an understanding of intelligent agents. | FALSE
3) When Chaplin's auto lease is about to expire, he decides it is time to buy a new car. This imbalance between a desired state and an actual state is called need identification. | TRUE
4) When making a purchasing decision, deciding what product to buy is referred to as product brokering. | TRUE
5) In the consumer decision-making process, the buyer is the person who ultimately makes the buying decision. | FALSE
6) In the purchase decision-making process, blogs and search engines support the evaluation, negotiation, and selection step. | FALSE
7) The first step in the purchase decision-making process is product evaluation and comparison. | FALSE
8) Personalization matches services, products, and advertising content with large groups of customer segments. | FALSE
9) A user profile defines customer preferences, behaviors, and demographics and can be generated by observing what the user does online. | TRUE
10) Customer loyalty is a deep commitment to rebuy or repatronize a preferred product or service consistently in the future, thereby causing repetitive same-brand purchasing. | TRUE
11) Customer loyalty leads to enhanced resistance to competitors, a decrease in price sensitivity, and an increase in favorable word-of-mouth. | TRUE
12) Attracting and retaining loyal customers is the most important issue for e-tailers because customer loyalty can lower marketing and advertising costs, transaction costs, customer turnover expenses, and failure costs such as warranty claims. | TRUE
13) E-loyalty is customer loyalty to an e-tailer or loyalty programs delivered online or supported electronically. | TRUE
14) The aim of market research is to discover marketing opportunities and issues, to establish marketing and advertising plans, to better understand the purchasing process, and to evaluate marketing performance. | TRUE
15) Spyware is tiny graphics files embedded in e-mail messages and in Web sites that transmit information about users and their movements to a Web server. | FALSE
1) A ________ is someone whose advice or view carries some weight in making a final purchasing decision. | influencer
2) Banner advertising on Web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the ________ stage of the EC purchase decision-making process. | need identification
3) EC businesses generate user profiles in each of the following ways except by: | using customer segmentation to identify customers' preferences.
4) The use of cookies | is one of the most controversial issues in EC.
5) Key factors limiting the use of personalization include | privacy and trust issues.
6) By increasing customer loyalty, EC companies achieve each of the following benefits except | lower click through rates.
7) The introduction of EC has | decreased customer loyalty because customers can more easily shop, compare, and switch to different vendors.
8) The psychological status of willingness to depend on another person or organization best defines | trust.
9) Finding information and knowledge that describe the relationships among consumers, products, marketing methods, and marketers is the goal of | market research.
10) The tiny graphics files embedded in e-mail messages and in Web sites that transmit information about users and their movements to a Web server are | Web bugs.
11) Once a company knows a consumer's preferences, the company can predict, without asking the consumer directly, what other products or services that consumer might enjoy through | collaborative filtering.
12) The key problem that biometric marketing is intended to solve is | knowing the identity of the actual shopper.
13) The ethical issue raised by collaborative filtering is | invasion of privacy.
14) Banner ads that appear when a predetermined word is queried from a search engine are | keyword banners.
15) An ad that appears underneath the current browser window, so when the user closes the active window the ad is still on the screen describes | pop-under ad.
1) ________ treats each customer in a unique way to fit marketing and advertising with the customer's profile and needs. | One-to-one marketing
2) ________ matches services, products, and advertising content with individuals and their preferences. | Personalization
3) A ________ is a data file that is placed on a user's hard drive by a remote Web server, frequently without disclosure or the user's consent that collects information about the user's activities at a site. | cookie
4) ________ is a deep commitment to rebuy or repatronize a preferred product or service consistently in the future, thereby causing repetitive same-brand purchasing. | Customer loyalty
5) ________ is the psychological status of willingness to depend on another person or organization. | Trust
6) ________ are tiny graphics files embedded in e-mail messages and in Web sites that transmit information about users and their movements to a Web server. | Web bugs
7) ________ are data that occur inside the Web environment, and they provide a trail of the user's activities in the Web site. | Clickstream data
8) ________ is online marketing, facilitated by the Internet, by which marketers and advertisers can interact directly with customers, and consumers can interact with advertisers or vendors. | Interactive marketing
9) ________ is online advertising that focuses on social networking sites. | Social network advertising
10) ________ is a marketing arrangement by which an organization refers consumers to the selling company's Web site. | Affiliate marketing
1) List and briefly discuss the five major roles that people play in the decision-making process. | The major roles are initiator, influencer, decider, buyer, and user. The initiator is the person who first suggests or thinks of the idea of buying a particular product or service. The influencer is the person whose advice or view carries some weight in making a final purchasing decision. The decider is the person who ultimately makes a buying decision or part of it, such as whether to buy, what to buy, how to buy, or where to buy. The buyer is the person who makes the actual purchase. The user is the person who consumes or uses the product or service.
2) List four reasons why Web advertising is growing rapidly. | Seven reasons are mentioned in the textbook and include cost, richness of format, personalization, timeliness, location-basis, linking, and digital branding. Referencing cost, online ads are sometimes cheaper than those in other media. In addition, ads can be updated at any time with minimal cost. In terms of format richness, Web ads effectively use the convergence of text, audio, graphics, and animation. In addition, games, entertainment, and promotions can be easily combined in online advertisements. When using personalization, Web ads can be interactive and targeted to specific interest groups or individuals, and the Web is a much more focused medium. In the area of timeliness, Internet ads can be fresh and up-to-the-minute. Web advertising can be location based; Internet ads can be sent to consumers whenever they are in a specific time and location. With linking, it is easy to link from an online ad to a storefront. In the area of digital branding, even the most price-conscious online shoppers are willing to pay premiums for brands they trust.
1. An ad that appears underneath the current browser window, so when the user closes the active window the ad is still on the screen describes: | pop-under ad.
2. Which of the following major factors is the most important predictor of online buying behavior? | product information requested
3. Word-of-mouth marketing by which customers promote a product or service by telling others about it is referred to as | viral marketing.
5. Data collection methods in the Web 2.0 environment include each of the following except | branding.
6. As the volume of customers, products, vendors, and information increases, it becomes uneconomical, or even impossible, for customers to consider all relevant information and available products and services. The practical solution to handling such information overload is to | use software or intelligent agents.
12. Web site content is especially important to increase stickiness because | customers are expensive to acquire.
13. One of the major challenges of one-to-one advertising is ________, or the flooding of users with junk e-mail, banners, and pop-ups. | spamming
15. In the consumer decision process, which of the following roles ultimately makes the buying decision or any part of it? | decider
18. One problem with Web analytics, Web mining, and clickstream data is that we observe and follow a computer, not knowing who is actually moving the mouse. | True
19. Virtual catalogs and links to external sources support the information search step in the purchase decision-making process. | True
1) The amount and percentage of goods and services sold on the Internet is increasing rapidly, despite the failure of many dot-com companies. | TRUE
2) When comparing retailing to e-tailing, e-tailing has a lower cognitive shopping overhead due to easy-to-establish mutual trust. | FALSE
3) Commodities with standard specifications (e.g., books, CDs, airline tickets) are expected to facilitate higher sales volumes. | TRUE
4) A business model is a description of how an organization intends to generate revenue through its business operations. | TRUE
5) Marketing done online between any seller and buyer is indirect marketing. | FALSE
6) Direct marketers are firms that sell directly to consumers over the Internet without maintaining a physical sales channel. | FALSE
7) A click-and-mortar retailer is a combination of both the brick-and-mortar retailer and an online transactional Web site. | TRUE
8) Competition among online travel e-tailers is fierce, with low margins, little customer loyalty, and increasing commoditization of products and services. | TRUE
9) The electronic job market can create high turnover costs for employers by accelerating employees' movement to other jobs. | TRUE
10) When compared to the traditional job market, an advantage of the online job market is its long life cycle. | TRUE
11) An advantage of the electronic job market for job seekers is that they can assess their market value. | TRUE
12) Many insurance companies use a dual strategy, keeping human agents but also selling online. | TRUE
13) The major risk of online trading is security. | TRUE
14) Both online banks and click-and-mortar banks carry some risks and problems, especially in international banking, including hackers and liquidity risk. | TRUE
15) A major problem in B2C is the increasing rate of online fraud. | TRUE
1) Each of the following describes retailing except: | Companies that produce a larger number of products, such as Proctor & Gamble, do not need retailers for efficient distribution.
2) Retailers who sell over the Internet are called | e-tailers.
3) What is the primary advantage of catalog sales? | Catalogs eliminate the constraints of
5) Dell's distribution strategy is best described as | direct marketing from a manufacturer.
7) Each of the following is a revenue model for online independent travel agents except | direct competition revenues.
8) Compared to the traditional job market, the online job market | tends to be much less expensive.
9) Which of the following parties use the Internet job market? | all of the above
10) Advantages of the electronic job market for employers include each of the following except | charging online processing fees.
11) Advantages of the electronic market for job seekers include each of the following except | competing with less qualified applicants.
12) E-banking | saves time and money.
13) Which of the following is not an online banking application category? | delivery
14) Gateways to storefronts and e-malls are | shopping portals.
15) Tools that scout the Web on behalf of consumers who specify search criteria are | shopbots.
1) Broadly, marketing that takes place without intermediaries between manufacturers and buyers describes ________. | direct marketing
2) ________ are firms that sell directly to consumers over the Internet without maintaining a physical sales channel. | Virtual (pure-play) e-tailers
3) ________ are brick-and-mortar retailers that offer a transactional Web site from which to conduct business. | Click-and-mortar retailers
4) The ________ is the online B2C business model where a manufacturer sells to a business, but delivers to individual customers. | B2B2C
5) ________ is the online B2C business model where manufacturers customize their products and services via online orders. | Make (build)-to-order
6) Various banking activities conducted from home or the road using an Internet connection describes ________. | electronic banking
7) Gateways to e-storefronts and e-malls describes ________. | shopping portals
8) Tools that scout the Web on behalf of consumers who specify search criteria describes ________. | shopping robots
9) The process whereby intermediaries take on new intermediary roles describes ________. | reintermediation
10) ________ is the situation in which an online marketing channel upsets the traditional channels due to real or perceived damage from competition. | Channel conflict
1) List five business models by distribution channel. | The five business models are direct marketing by mail-order retailers that go online, direct marketing by manufacturers, pure-play e-tailers, click-and-mortar retailers, and Internet malls.
2) What are virtual (pure-play) e-tailers? Give an example. List one advantage and one disadvantage of this model. | Virtual (pure-play) e-tailers are firms that sell directly to consumers over the Internet without maintaining a physical sales channel. Amazon.com is a prime example of this type of e-tailer. Virtual e-tailers have the advantage of low overhead costs and streamlined processes. One disadvantage is a lack of established infrastructure or back office to support the online front-office activities.
2. Each of the following is a characteristic of WAYN except: | When it introduced fees for its premier travel membership service, it lost most of its new subscriptions.
5. Competitive advantages of a "pull" vehicle distribution process include | all of the above.
6. Conducting e-commerce where the online channel of a business is integrated with the physical retail business as opposed to being a separate channel best defines | considered commerce.
9. Business rating sites can aid consumer purchase decisions. | True
16. Amazon.com experienced each of the following except | establishing a grocery delivery service called AmazonConnect.
20. The top 500 e-tailers accounted for 65 percent of all online sales in 2009. | True
24. The Sears marketing strategy is best described as | a click-and-mortar strategy.
26. A type of online mall that is basically a directory organized by product type best describes | referring directory.
2. Ebay auctions are mostly: | consumer-to-consumer
3. The type of EC transactions used by Zappos are: | business-to-consumer
4. The second generation of Internet-based services that lets people collaborate and share information online in new ways, such as social networking sites, wikis, communication tools, and folksonomies best defines: | Web 2.0
5. Major barriers to EC include all of the following except: | lack of programmers
6. A ________ is a company's method of doing business to generate revenue to sustain itself. | business model
7. Large private organizational buyers and government agencies make large-volume or large-value purchases through ________, also known as reverse auctions. | electronic tendering systems
9. Electronic commerce is an interdisciplinary field. | True
10. The structure of a social network is often very simple. | False
11. Benefits of e-commerce to customers include: | all of the above.
12. A category of Internet applications that helps connect friends, business partners, or individuals with specific interests by providing free services such as photo presentation, e-mail, blogging, and so on using a variety of tools best describes: | social networking.
13. A network that uses the Internet to link ent intranets best defines: | extranet.
14. The e-commerce model in which a business provides some product or service to a client business that maintains its own customers is called: | business-to-business-to-consumer.
