Which of the following is NOT a potential security issue with respect to the Linux GUI? | Linux GUI applications can be assessed over an SSH connection.
168. You want to use your Squid proxy server to filter some Web addresses and enforce other controls. You decide to channel all Web requests from inside your network through the proxy server. Which port number do you use with the redirect option in the iptables command to accomplish this task? | d. 3128
Which commands are required to limit remote access with Squid? | b. acl, http_access
170. Which of the following is not a type of DNS server? | a. Backup domain
171. You are configuring a master authoritative DNS server for a domain on an internal network for security purposes. Which of the following should not be part of the Berkeley Internet Name Domain (BIND) configuration? | b. Recursive querying
172. When configuring an authoritative DNS server for a public system, which of the following is a type of attack you should protect against? | d. Phishing
173. What is a VoIP solution that uses Session Initiation Protocol (SIP) and the Real-time Transport Protocol (RTP)? | b. Asterisk
174. Which of the following is the correct method to apply a new kernel built on a Linux system? | Install it as a new kernel leaving the original kernel in place.
175. Which of the following is an advantage of compiling a customized kernel rather than using a vendorsupplied kernel? | A custom kernel can be compiled with only the necessary modules and features.
176. A security compliance team finds that a local file server has been mistakenly configured to forward packets and needs to be fixed immediately. How can a Linux system administrator verify that the Linux system is forwarding IPv4 packets? | d. Verify the kernel by viewing the /proc/sys/net/ipv4/ip_forward file
177. How can kernel parameters be changed without rebooting the computer system? | c. By modifying the value of files in the /proc filesystem
178. How can you disable the packet forwarding on a running kernel? | Issue the # echo "0" > /proc/sys/net/ipv4/ip_forward command.
179. Which of the following indicators explains that the 2.6.34.4 version of the Linux kernel is stable? | b. Majorrevision
180. What does the following option in the /etc/sysctl.conf file do? | b. Prevents systems from replying to ping requests (broadcasts)
181. What does the following option in the /etc/sysctl.conf file do net.ipv4.icmp_ignore_bogus_error_responses = 1 | a. Ignores ICMP messages that do not conform to standards
182. On a computer network, packets with addresses that should not be possible are known as ______. | c. Martian packets
183. Before customizing a kernel, you should clean the directories associated with the source code by using which command? | b. make clean
184. To customize a kernel, which command opens a kernel customization editing tool? | c. make menuconfig
185. Why is it important to install antivirus software for a Samba file server in a Microsoft Windows environment? | Because shared files on the Samba server can contain viruses that can infect Windows clients
186. ClamAV can be described as: | c. An open source anti-virus solution mainly used on Linux e-mail gateways
187. Which term describes a common malware targeted for Linux operating systems that allows a blackhat hacker to take over the computer system with administrative privileges? | b. Rootkit
188. Which environment is best suited for using the Red Hat Satellite Server? | a. The LAN of enterprises
189. The apt-* commands are a series of commands developed for ______ Linux distribution. | c. Debian
190. Which of the following yum commands checks for available updates? | d. yum check-update
191. The commercially supported update system for the Ubuntu distribution is: | c. Landscape
192. Which Linux distribution is known as "a rebuild of RHEL" because the developers use the RHEL source code released by Red Hat under open source licenses? | b. CentOS
193. Which Linux distribution is primarily supported by the "community," although Red Hat engineers develop software for the distribution? | c. Fedora
194. Of the following, which Linux distributions are released with long-term support (LTS) every two years? | a. Ubuntu
195. Which organization maintains the Common Vulnerabilities and Exposures (CVE) list? | d. MITRE Corporation
196. Which desktop environment is the Konqueror Web browser part of, by default? | c. KDE
197. Which of the following enables you to check an Online Certificate Status Protocol (OCSP) server for the current status of a digital certificate? | a. Apache
198. Which of the following is self-replicating malware that differs from a virus in that it does not require direct user involvement to spread? | c. Worm
199. What is SpamAssassin? | c. An e-mail filter
200. What is a commonly used bug tracking system derived from Mozilla's system and now used by Red Hat and many others? | d. Bugzilla
201. Which of the following is not an Ubuntu repository? | a. OpenSource
202. What is Anaconda? | b. A Linux installation program
203. Which of the following directories should not be made read-only? | d. All of the above
204. What is the general name of a fully functional version of a Linux distribution that runs in RAM and does not require a hard disk? | c. Live CD
205. Which of the following is not a characteristic of a gold Linux baseline? | a. GUI
206. You may create multiple gold baseline configurations to reflect separation in different _________. | b. filesystems
207. Standard logging services store logs in subdirectories of ____________. | d. /var/log/
208. What does a baseline configuration include? | c. Both A and B
209. Regarding system and kernel log services, which log message priority is considered most important, and might be shown as "panic" or "crit"? | d. emerg
210. Log entries associated with printing are stored in which of the following? | b. CUPS logs
211. You want to review information on users who connect to Web sites configured on your Apache server. Which directive in the Apache log configuration file helps you capture this information? | d. LogFormat
212. You want to check the status of files compared to a baseline; specifically, you want to compare the state of stable directories. Which of the following can help you compare this task? | a. Tripwire
213. You want to check the status of files compared to a baseline; specifically, you want to compare the state of stable directories. Which of the following can help you compare this task? | . Rsyslog
214. 4. The security test tool SAINT began as the open source version of __________. | a. SATAN
216. In what form is SAINT available? | c. Both A and B
215. To use Nessus�, you must first create a _________. | b. user
217. After running SAINT, you discover an issue that allows unauthorized access to your network. Which SAINT reporting level does the issue fall under? | a. Critical problems
218. Which command uses the GAPING_SECURITY_HOLE option? | d. nc
219. Which of the following is not an example of live media with penetration testing tools? | b. Nessus
220. You turned off an iptables firewall to test it with the nmap tool. How do you restart the firewall? | d. iptables restart
221. Which tool is generally not used to decrypt and test passwords? | b. Nessus�
d. netstat -t | a. lsof -ni
223. Which command uses the ping command to display a list of active systems on a network? | a. nmap -sP 10.0.0.0/8
224. Of the following virtualization solutions, which one runs Linux systems only as guests? | b. Microsoft Virtual Server
225. Which of the following is a valid reason to use a Live CD on a suspected compromised system? | c. The Live CD can be used for forensic analysis.
226. Which of the following commands is used to transfer data over an SSH connection in encrypted format? | b. rsync -e ssh
227. Which of the following do you need to work with an encrypted filesystem during a digital forensic investigation? | c. Both A and B
228. Which instrument documents where evidence came from, how that evidence was duplicated, and the methods used to analyze that evidence? | d. Chain of custody
229. Which command creates a bit-by-bit duplicate of an original disk? | a. dd
230. What is a drawback of the rsync command for backing up files? | c. It transmits data in clear text.
231. What is one of the first steps in incident response? | b. Confirm the breach.
232. Which command does not include free space in the duplication process? | d. rsync
233. You want to see which users are currently logged into a system including information on the process currently being executed by the logged-in user. Which command can you use? | a. w
234. You want to find executable files in user directories. Which command is the best choice? | . find
235. You are performing computer forensics and need to review data currently in RAM. What do you do to ensure you don't lose or modify the RAM data? | b. Use a forensics kit such as Helix Knoppix
236. You are performing computer forensics. You just transferred data from the victim's hard disk to a forensic system. What is the next step you should perform? | c. Create a checksum file.
237. What is the best description of a functional bug? | a. A flaw in software that prevents part of a program from running properly
238. Which command upgrades rather than installs a Linux distribution? | b. apt-get dist-upgrade
239. Which software, when available, should allow you to configure Linux as a domain controller on a Microsoft Active Directory network? | c. Samba 4.0
240. What is Content Scramble System (CSS) associated with? | d. Digital rights management
241. Where is the best place to report bugs you encounter in open source software? | a. Bug reporting site
242. What is the name of the emerging firewall that is expected to replace iptables? | b. nftables
