đảng lao động việt nam  là tên gọi của đảng được thông qua tại đâu ? | đại hội lần thứ ii (2-1951)
"Tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản" là chiến lược cách mạng được Đảng đưa ra trong văn kiện nào? | Cương lĩnh cách mạng đầu tiên do Nguyễn Ái Quốc soạn thảo.
Đánh địch về mọi mặt chính trị, quân sự, kinh tế, văn hóa và ngoại giao là nội dung đường lối kháng chiến gì của Đảng? | Kháng chiến toàn dân
Hội nghị hợp nhất các tổ chức cộng sản thành một đảng duy nhất ở Việt Nam do Nguyễn Ái Quốc chủ trì bắt đầu diễn ra vào ngày nào? | 6 - 1 - 1930
Hội Việt Nam cách mạng thanh niên ra đời tháng 6-1925 do ai thành lập? | Nguyễn Ái Quốc
Văn kiện nào của Đảng đã đề ra những nhiệm vụ, biện pháp cụ thể về đối nội, đối ngoại để khắc phục nạn đói, nạn dốt, nạn dốt, chống thù trong giặc ngoài bảo vệ chính quyền cách mạng: | "Chỉ thị kháng chiến kiến quốc" ngày 25-11-1945
Đảng chủ trương thành lập mặt trận Việt Minh thay cho mặt trận gì trước đó? | Mặt trận thống nhất dân tộc phản đế Đông Dương
Các đảng Cộng sản trên thế giới được ra đời trên cơ sở của các yếu tố nào? | Chủ nghĩa Mác - Lênin kết hợp với phong trào công nhân
Hội nghị hợp nhất các tổ chức cộng sản thành một đảng duy nhất ở Việt Nam do Nguyễn Ái Quốc chủ trì bắt đầu diễn ra vào ngày nào? | 6 - 1 - 1930
Văn kiện nào của Đảng đã đề ra những nhiệm vụi, biện pháp cụ thể về đối nội, đối ngoại để khắc phục nạn đói, nạn dốt, nạn dốt, chống thù trong giặc ngoài bảo vệ chính quyền cách mạng: | "Chỉ thị kháng chiến kiến quốc" ngày 25-11-1945
Lần đầu tiên Trung ương Đảng ra nghị quyết về cách mạng miền Nam là tại đâu? | Hội nghị Trung ương Đảng lần thứ 15 (tháng 1/1959)
Đánh địch về mọi mặt chính trị, quân sự, kinh tế, văn hóa và ngoại giao là nội dung đường lối kháng chiến gì của Đảng? | Kháng chiến toàn dân
Nhật tiến hành đảo chính lật đổ Pháp độc chiếm Đông Dương vào thời gian nào? | 9/3/1945
Năm 1976 tại Đại hội lần thứ IV, Đảng ta lấy tên là « Đảng Cộng sản Việt Nam ». Đây là lần đổi tên chính thức thứ mấy của Đảng? | Thứ 3
Nội dung nào không phải là nguyên nhân thắng lợi của Cách mạng Tháng Tám 1945? | Có lực lượng vũ trang lớn mạnh, áp đảo kẻ thù.
Giai cấp tư sản và giai cấp công nhân ở Việt Nam ra đời khi nào? | Sau hai cuộc khai thác thuộc địa của thực dân Pháp
Văn kiện nào sau đây của Đảng xác định "Vấn đề thổ địa là cái cốt của cách mạng tư sản dân quyền"? | Luận cương chính trị tháng 10-1930
Nội dung nào không phải là nhiệm vụ trước mắt của phong trào cách mạng (1936-1939)? | Ruộng đất cho dân cày
Các đại biểu tham dự Hội nghị thành lập Đảng ra về vào thời gian nào? | 8 - 2 - 1930
Năm 1976 tại Đại hội lần thứ IV, Đảng ta lấy tên là « Đảng Cộng sản Việt Nam ». Đây là lần đổi tên chính thức thứ mấy của | Thứ 3
Hiệp định gì được ký kết vào ngày 21-7-1954 về chấm dứt chiến tranh và lập lại hòa bình ở Đông Dương, đánh dấu kết thúc cuộc kháng chiến chống thực dân Pháp? | Hiệp định Giơnever
Theo Đại hội X, tiến hành công nghiệp hóa theo kiểu rút ngắn so với các nước đi trước, chúng ta cần thực hiện | Phát huy những lợi thế của đất nước, gắn công nghiệp hóa với hiện đại hóa, từng bước phát triển kinh tế tri thức
Chế độ bao cấp trong thời kỳ trước đổi mới thông qua | Giá
Kinh tế thị trường phát triển cao trong hình thái kinh tế xã hội nào dưới đây | Xã hội tư bản chủ nghĩa
Cơ chế quản lý kinh tế kế hoạch hóa tập trung quan liêu, bao cấp trong giai đoạn trước đổi mới không tạo ra hạn chế nào sau đây: | Phân hóa giàu nghèo ngày càng cao
Nội dung nào sau đây là quan điểm của Đảng về công nghiệp hóa, hiện đại hóa | Công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế thị trường định hướng xã hội chủ nghĩa và hội nhập kinh tế quốc tế
Khái niệm về công nghiệp hóa, hiện đại hóa lần đầu tiên được Đảng ta đưa ra vào thời gian nào? | Hội nghị Trung ương 7 Khóa VII (1/1994)
Đại hội X của Đảng xác định mục đích của định hướng xã hội chủ nghĩa trong phát triển kinh tế thị trường là: | Nhằm thực hiện "dân giàu, nước mạnh, xã hội công bằng, dân chủ, văn minh"
Một trong những đặc trưng chủ yếu của công nghiệp hoá, hiện đại hoá thời kỳ trước đổi mới là: | Công nghiệp hóa chủ yếu dựa vào lợi thế về lao động, tài nguyên, đất đai và nguồn viện trợ của các nước xã hội chủ nghĩa
Nền kinh tế Việt Nam thời kỳ trước đổi mới rơi vào tình trạng trì trệ, khủng hoảng không phải do nguyên nhân nào? | Thừa nhận sự tồn tại của nhiều thành phần kinh tế thời kỳ quá độ
Chủ nghĩa tư bản sản sinh ra? | Kinh tế thị trường tư bản chủ nghĩa - theo lợi nhuận tối đa
Ba chương trình mục tiêu: Lương thực, thực phẩm, hàng tiêu dùng và hàng xuất khẩu được đề ra tại Đại hội nào của Đảng? | Đại hội VI (12/1986)
Chủ trương của Đảng: "Đẩy mạnh công nghiệp hóa xã hội chủ nghĩa, xây dựng cơ sở vật chất - kỹ thuật của chủ nghĩa xã hội, đưa nền kinh tế nước ta từ nền sản xuất nhỏ lên sản xuất lớn xã hội chủ nghĩa" được đưa ra tại Đại hội nào của Đảng? | Đại hội IV của Đảng (12/1976)
Đại hội X xác định mục tiêu đẩy mạnh công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế tri thức để: | Sớm đưa nước ta ra khỏi tình trạng kém phát triển
Nội dung nào không có trong tư duy của Đảng về kinh tế thị trường từ Đại hội VI đến Đại hội VIII | Kinh tế thị trường định hướng xã hội chủ nghĩa là mô hình kinh tế tổng quát của nước ta trong thời kỳ quá độ đi lên chủ nghĩa xã hội
Đại hội VI của Đảng nhận ra một trong những sai lầm của đường lối công nghiệp hoá thời kỳ trước đổi mới như sau | Trong việc bố trí cơ cấu kinh tế, trước hết là cơ cấu sản xuất và đầu tư, thường chỉ xuất phát từ lòng mong muốn đi nhanh, không kết hợp chặt chẽ ngay từ đầu công nghiệp với nông nghiệp thành một cơ cấu hợp lý
Nội dung nào không đúng trong đặc trưng chủ yếu của đường lối công nghiệp hoá thời kỳ trước đổi mới? | Việc phân bổ nguồn lực để công nghiệp hóa thực hiện thông qua cơ chế hạch toán kinh doanh xã hội chủ nghĩa
Chế độ bao cấp thời kỳ trước đổi không thực hiện qua hình thức: | Bao cấp theo chế độ hạch toán
Đại hội X của Đảng xác định phương hướng của định hướng xã hội chủ nghĩa trong phát triển kinh tế thị trường là | Phát triển nền kinh tế với nhiều hình thức sở hữu, nhiều thành phần kinh tế, kinh tế nhà nước giữ vai trò chủ đạo
Cơ chế quản lý kinh tế kế hoạch hóa tập trung quan liêu, bao cấp trong giai đoạn trước đổi mới không tạo ra hạn chế nào sau đây: | Làm suy yếu kinh tế xã hội chủ nghĩa
Nội dung nào không đúng với nhận thức của Đại hội VI của Đảng về những sai lầm trong nhận thức và chủ trương công nghiệp hóa thời kỳ 1960-1985? | Chúng ta đã phạm sai lầm trong việc xác định mục tiêu và bước đi về xây dựng cơ sở vật chất - kỹ thuật, cải tạo xã hội chủ nghĩa và quản lý kinh tế ...
Nội dung nào không phải là quan điểm công nghiệp hóa, hiện đại hóa của Đảng? | Công nghiệp hóa, hiện đại hóa gắn với phát triển kinh tế xã hội chủ nghĩa và hội nhập kinh tế quốc tế
Kinh tế thị trường và kinh tế hàng hóa không giống nhau ở điểm nào? | Trao đổi mua bán hàng hóa là phương thức giải quyết mâu thuẫn phụ thuộc và độc lập của những người sản xuất
Nội dung nào không đúng trong mục tiêu cơ bản của công nghiệp hóa, hiện đại hóa? | Cải biến nước ta thành một nước công nghiệp có quan hệ sản xuất tiến bộ, phù hợp với trình độ phát triển của người dân
Chế độ bao cấp trong thời kỳ trước đổi mới thông qua: | Cấp phát vốn
Tại đại hội nào Đảng cho rằng: "nhiệm vụ đề ra cho chặng đường đầu của thời kỳ quá độ là chuẩn bị tiền đề cho công nghiệp hóa đã cơ bản hoàn thành cho phép chuyển sang thời kỳ mới đẩy mạnh công nghiệp hóa, hiện đại hóa đất nước"? | Đại hội VIII của Đảng (6-1996)
Thực hiện tốt hơn dân chủ xã hội chủ nghĩa, phát huy đầy đủ quyền làm chủ của nhân dân" được xem là: | Mục tiêu chủ yếu của đổi mới hệ thống chính trị
Tổ chức nào có nhiệm vụ chủ yếu là thực hiện khối đại đoàn kết dân tộc? | Mặt trận tổ quốc Việt Nam
Quan điểm nào dưới đây của Đảng về văn hóa thời kỳ đổi mới là đúng? | Văn hoá là nền tảng tinh thần của xã hội, vừa là mục tiêu vừa là động lực thúc đẩy sự phát triển kinh tế - xã hội.
Thực hiện thắng lợi sự nghiệp công nghiệp hóa, hiện đại hóa là nội dung: | Chủ yếu của đấu tranh giai cấp trong giai đoạn hiện nay
Xây dựng chính sách văn hóa trong kinh tế để nhằm | Chủ động đưa các yếu tố văn hóa thâm nhập vào các hoạt động kinh tế - xã hội.
Ba nguyên tắc của nền văn hoá mới trong Đề cương xây dựng văn hoá năm 1943 của Đảng là | Dân tộc hoá, Đại chúng hoá, Khoa học hoá
Nội dung nào đúng trong mối quan hệ giữa chính sách xã hội và chính sách kinh tế? | Mục tiêu của chính sách xã hội thống nhất với mục tiêu phát triển kinh tế đều nhằm phát huy sức mạnh của nhân tố con người
Vai trò của văn hóa được Đảng Cộng sản Việt Nam xác định là: | Động lực thúc đẩy sự phát triển kinh tế - xã hội
Chính sách xã hội được Đảng Cộng sản Việt Nam xác định là: | Động lực để phát triển kinh tế
Mặt trận Tổ quốc Việt Nam và các tổ chức chính trị - xã hội có chức năng gì? | Các phương án đều đúng
Đảng chủ trương xây dựng và phát triển văn hóa là sự nghiệp của | Toàn dân
Quan điểm văn hóa là nền tảng tinh thần của xã hội, vừa là mục tiêu vừa là động lực thúc đẩy sự phát triển kinh tế - xã hội. Quan điểm này là nhằm: | Chỉ rõ chức năng, vị trí, vai trò đặc biệt quan trọng của văn hóa đối với sự phát triển của xã hội.
Đổi mới quan hệ giữa các bộ phận cấu thành của hệ thống chính trị với nhau và với xã hội" là quan điểm gì của Đảng? | Đổi mới xã hội
Liên minh công nhân và nông dân được coi là: | Cơ sở xã hội của hệ thống chính trị chuyên chính vô sản
Đổi mới hệ thống chính trị là nhằm mục tiêu gì? | Thực hiện tốt hơn dân chủ xã hội chủ nghĩa, phát huy đầy đủ quyền làm chủ của nhân dân.
"Một dân tộc dốt là một dân tộc yếu" là câu nói của Hồ Chí Minh đưa ra trong hoàn cảnh nào? | Phiên họp đầu tiên của Hội đồng Chính phủ 3-9-1945
Quan niệm về nền văn hoá Việt Nam có đặc trưng tiên tiến, đậm đà bản sắc dân tộc lần đầu được đưa ra khi nào? | Đại hội Đảng VII (1991)
Kết hợp chặt chẽ ngay từ đầu đổi mới kinh tế với đổi mới chính trị là nội dung thuộc quan điểm xây dựng hệ thống chính trị nào? | Hệ thống chính trị thời kỳ đổi mới
Đại hội lần thứ VIII của Đảng chủ trương tăng trưởng kinh tế gắn liền với tiến bộ và công bằng xã hội thực hiện trong điều kiện nào? | Trong từng bước và suốt quá trình phát triển
Quan điểm quan trọng về giải quyết các vấn đề xã hội thời kỳ đổi mới được xác định là: | Kết hợp các mục tiêu kinh tế với các mục tiêu xã hội
Thuật ngữ "hệ thống chính trị" lần đầu tiên được đưa ra ở đâu? | Hội nghị trung ương 6 khoá VI (tháng 3 năm 1989)
Hệ thống chính trị dân chủ nhân dân thực hiện bắt đầu vào thời gian nào? | Sau năm 1945
Nội dung nào dưới đây không phản ánh đúng quan điểm của Đảng về kiện toàn hệ thống chính trị | Kết hợp chặt chẽ ngay từ đầu đổi mới kinh tế với đổi mới chính trị, lấy đổi mới chính trị làm trọng tâm, đồng thời từng bước đổi mới kinh tế.
Việc xác định tiến hành đồng thời 3 cuộc cách mạng về quan hệ sản xuất, khoa học kỹ thuật, tư tưởng văn hoá, trong đó cách mạng khoa học kỹ thuật là then chốt được đưa ra trong văn kiện nào? | Báo cáo chính trị tại Đại hội đại biểu toàn quốc lần thứ IV (1976)
Đại đoàn kết toàn dân trên cơ sở liên minh giữa công nhân với nông dân và trí thức do Đảng lãnh đạo" được coi là | Động lực chủ yếu để phát triển đất nước
Quan điểm văn hoá là nền tảng tinh thần của xã hội, vừa là mục tiêu vừa là động lực thúc đẩy sự phát triển kinh tế - xã hội được Đảng ta xác định khi nào? | Thời kỳ đổi mới
Điền vào chỗ trống: Đại hội VI (1986) của Đảng ta đã xác định (......) là một động lực to lớn đẩy mạnh quá trình phát triển kinh tế - xã hội; có vị trí then chốt trong sự nghiệp xây dựng chủ nghĩa xã hội. | Khoa học kỹ thuật
Đại hội nào của Đảng và nhiều nghị quyết Trung ương tiếp theo đã xác định văn hoá là nền tảng tinh thần của xã hội và coi văn hoá vừa là mục tiêu, vừa là động lực của phát triển? | Tất cả
Đại hội IV, V của Đảng ta xác định nền văn hoá mới mà chúng ta xây dựng có: | Nội dung xã hội chủ nghĩa, có tính chất dân tộc, tính Đảng và tính nhân dân.
Điền vào chỗ trống theo quan điểm của Đảng: Nền văn hoá Việt Nam là nền văn hoá (......) trong cộng đồng các dân tộc Việt Nam. | Thống nhất mà đa dạng
Điền vào chỗ trống: Ngày 3-9-1945, trong phiên họp đầu tiên của Hội đồng chính phủ, Chủ tịch Hồ Chí Minh đã trình bày với các Bộ trưởng 6 nhiệm vụ cấp bách của Nhà nước Việt Nam Dân chủ Cộng hòa, trong đó có 2 nhiệm vụ cấp bách thuộc về văn hoá; đó là những nhiệm vụ nào ? | Cùng với diệt giặc dốt phải giáo dục lại tinh thần nhân dân
Điền vào chỗ trống:
Theo Đề cương văn hoá Việt Nam (năm 1943) - Văn hoá là một trong (......) mặt trận của cách mạng Việt Nam | 3
Chủ trương xây dựng chiến lược quốc gia về nâng cao sức khoẻ và cải thiện nòi giống đã được Đảng đưa ra trong thời gian nào | Thời kỳ từ 1986 - nay
Đại hội nào của Đảng đã chủ trương nâng chính sách xã hội lên tầm hệ thống các chính sách xã hội? | Đại hội VIII
Cương lĩnh năm 1991 lần đầu tiên đưa ra quan niệm nền văn hoá Việt Nam có đặc trưng: tiên tiến, đậm đà bản sắc dân tộc, thay cho quan niệm nào của nền văn hoá Việt Nam trước đây? | Có nội dung XHCN, có tính chất dân tộc, có tính Đảng và tính nhân dân
Theo Đề cương văn hoá Việt Nam (năm 1943) - Tính chất Dân tộc hoá của nền văn hóa mới mà chúng ta xây dựng nhằm để: | Chống lại mọi ảnh hưởng nô dịch và thuộc địa.
Đại hội nào của Đảng dưới đây coi sự nghiệp giáo dục - đào tạo cùng với khoa học và công nghệ là quốc sách hàng đầu để phát huy nhân tố con người, động lực trực tiếp của sự phát triển xã hội. | Đại hội VII (1991) và Đại hội VIII (1996)
Đại hội nào của Đảng lần đầu tiên đã nâng các vấn đề xã hội lên tầm chính sách xã hội? | Đại hội VI
Đại hội nào của Đảng chủ trương phải kết hợp các mục tiêu kinh tế với các mục tiêu xã hội trong phạm vi cả nước, ở từng lĩnh vực, địa phương. | Đại hội X
Đường lối xây dựng, phát triển văn hoá của Đảng ta giai đoạn 1955-1986 bị chi phối bởi tư duy chính trị: | Nắm vững chuyên chính vô sản
Đại hội nào của Đảng đã khẳng định quan hệ đặc biệt Việt Nam - Lào - Campuchia có ý nghĩa sống còn đối với vận mệnh của ba dân tộc? | Đại hội V
Việt Nam khai thông quan hệ với các tổ chức tài chính tiền tệ quốc tế vào thời gian nào? | Năm 1993
Phương châm đối ngoại của Đại hội VII Là: | Việt Nam muốn là bạn với tất cả các nước trong cộng đồng thế giới, phấn đấu vì hòa bình, độc lập và phát triển
Đại hội nào của Đảng chủ trương bảo vệ và phát triển mối quan hệ đặc biệt Việt Nam - Lào - Campuchia? | Đại hội IV
Trên lĩnh vực kinh tế đối ngoại, Đảng chủ trương xóa bỏ tình trạng độc quyền trong sản xuất và kinh doanh xuất nhập khẩu vào khi nào? | Năm 1989
Quan điểm sau là nhận định của Đại hội nào của Đảng: "Xu thế mở rộng phân công, hợp tác giữa các nước, kể cả các nước có chế độ kinh tế - xã hội khác nhau, cũng là những điều kiện rất quan trọng đối với công cuộc xây dựng CNXH của nước ta" | Đại hội VI
Đâu là quan điểm ưu tiên trong chính sách đối ngoại của Việt Nam trong giai đoạn trước đổi mới? | Xây dựng quan hệ hợp tác toàn diện với Liên Xô và các nước XHCN, củng cố, tăng cường đoàn kết hợp tác với Lào và Campuchia, mở rộng quan hệ hữu nghị với các nước không liên kết và các nước đang phát triển, đấu tranh với sự bao vây, cấm vận của các thế lực thù địch".
Trong quan hệ với các nước, Đại hội V của Đảng chủ trương | Khôi phục quan hệ bình thường với Trung Quốc trên cơ sở các nguyên tắc cùng tồn tại hoà bình.
iệt Nam đã thiết lập quan hệ ngoại giao với bao nhiêu nước trong tổng số hơn 200 quốc gia trên thế giới? | 169
Giữa năm 1978, Đảng không điều chỉnh chủ trương, chính sách đối ngoại nào dưới đây: | Đề ra yêu cầu mở rộng quan hệ hợp tác quốc tế.
Tìm phương án đúng điền vào chỗ trống: Từ cuối thập kỷ 1970, lấy cớ sự kiện (..........) nước ta bị một số nước bao vây, cấm vận. | Campuchia
Đảng chủ trương ra sức bảo vệ mối quan hệ đặc biệt Việt - Lào trong bối cảnh vấn đề Campuchia đang diễn biến phức tạp trong thời gian nào? | Giữa năm 1978
Tìm phương án đúng điền vào chỗ trống: Từ 1975 đến 1977, nước ta thiết lập thêm quan hệ ngoại giao với (........) nước, trong đó có một số nước tư bản. | 23
QN=509 Việt Nam trở thành thành viên của Liên hợp quốc từ khi nào ? | Ngày 20-9-1977
Philippin và Miến điện | Cuối năm 1976, hai quốc gia nào là nước cuối cùng trong khối ASEAN thiết lập quan hệ ngoại giao với Việt Nam?
Tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản" là nội dung của bản cương lĩnh thứ mấy của Đảng? | Cương lĩnh đầu tiên
Chính sách thống trị của thực dân Pháp ở Việt Nam và Đông Dương có nội dung cơ bản là: | Bóc lột về kinh tế, chuyên chế về chính trị và nô dịch về văn hóa
Câu nào sai khi nói về chính sách cai trị của thực dân Pháp? | Nhằm thực hiện khẩu hiệu: tự do, bình đẳng, bắc ái ở nước ta.
Ngày nào là ngày kỷ niệm Đảng Cộng sản Việt Nam ra đời? | 3 - 2 - 1930
Đối với các dân tộc thuộc địa, cách mạng tháng Mười: | Đã nêu tấm gương sáng trong việc giải phóng các dân tộc bị áp bức
Tổ chức cộng sản nào ra đời đầu tiên ở Việt Nam? | Đông Dương cộng sản Đảng
Các phong trào yêu nước trước khi Đảng Cộng sản Việt Nam ra đời đều thất bại nhưng đã có tác dụng to lớn đó là: | Tạo cơ sở xã hội cho sự tiếp nhận chủ nghĩa Mác-Lênin
Trước sự xâm lược của thực dân Pháp, phong trào yêu nước của nhân dân ta đã diễn ra theo nhiều khuynh hướng khác nhau. Phong trào yêu nước do Việt Nam quốc dân Đảng khởi xướng theo khuynh hướng nào sau đây: | Khuynh hướng dân chủ tư sản
Đại biểu các tổ chức cộng sản nào đã tham dự Hội nghị thành lập đảng đầu năm 1930? | Đông Dương cộng sản Đảng và An Nam cộng sản Đảng
Quốc tế III ra đời có vai trò quan trọng, tác động đến Việt Nam dẫn đến: | Các tổ chức cộng sản ra đời
Hội nghị thành lập Đảng đầu năm 1930 dưới sự chủ trì của ai? | Lê Hồng Phong
Mâu thuẫn cơ bản, chủ yếu trong xã hội Việt Nam đầu thế kỷ XX là: | Giữa toàn thể dân tộc Việt Nam với thực dân Pháp xâm lược
Đối với Việt Nam, Quốc tế cộng sản có vai trò | Truyền bá chủ nghĩa Mác-Lênin và thành lập Đảng cộng sản Việt Nam
Thành phần nào dưới đây trở thành bị trị trong thời Pháp thuộc: | Công nhân, nông dân, tiểu tư sản, tư sản dân tộc, địa chủ nhỏ và vừa
Quốc tế cộng sản (Quốc tế III) được thành lập vào năm nào? | 1919
Nguyên nhân chủ yếu và có ý nghĩa quyết định sự bùng nổ và phát triển của cao trào cách mạng 1930-1931 là: | Sự lãnh đạo của Đảng cộng sản Việt Nam
Trong phong trào yêu nước theo khuynh hướng phong kiến và dân chủ tư sản cuối thế kỷ XIX đầu thế kỷ XX có nhiều nhà yêu nước vĩ đại. Ai là lãnh tụ của phong trào khởi nghĩa nông dân Yên Thế? | Hoàng Hoa Thám
Sự kiện nào được Nguyễn Ái Quốc đánh giá "Nó là quả trứng, mà từ đó nở ra con chim non Cộng sản"? | Sự thành lập Hội Việt Nam cách mạng thanh niênSự thành lập Hội Việt Nam cách mạng thanh niên
Giai cấp công nhân Việt Nam ra đời từ | Cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp
Đâu là luận điểm sáng tạo của Hồ Chí Minh khi vận dụng chủ nghĩa Mác - Lênin về việc ra đời của Đảng Cộng sản Việt Nam? | Đảng Cộng sản Việt Nam là sản phẩm của sự kết hợp chủ nghĩa Mác-Lênin với phong trào công nhân và phong trào yêu nước của nhân dân Việt Nam.
Nguyễn Ái Quốc lựa chọn đi theo con đường giải phóng dân tộc theo khuynh hướng chính trị vô sản vào thời gian nào? | 1920
Do đâu Nguyễn Ái Quốc đã triệu tập và chủ trì hội nghị thành lập Đảng đầu năm 1930? | Sự chủ động của Nguyễn Ái Quốc
Hội nghị Thành lập Đảng Cộng sản Việt Nam diễn ra bắt đầu vào thời gian nào sau đây: | 6 - 1 - 1930
Khi nào phong trào công nhân Việt Nam hoàn toàn trở thành một phong trào tự giác? | Năm 1930 (Đảng cộng sản Việt Nam ra đời)
Về vị trí của Đảng Cộng sản Việt Nam được xác định trong bản Cương lĩnh cách mạng đầu tiên là: | Lãnh đạo cách mạng Việt Nam
Cương lĩnh đầu tiên của Đảng đã xác định mục tiêu chiến lược của cách mạng Việt Nam là gì? | Làm tư sản dân quyền cách mạng và thổ địa cách mạng để đi tới xã hội cộng sản.
Các đại biểu rời khỏi hội nghị thành lập Đảng Cộng sản Việt Nam và trở về nước vào thời gian nào? | 8 - 2 - 1930
Nguyễn Ái Quốc lựa chọn đi theo con đường giải phóng dân tộc theo khuynh hướng chính trị vô sản vào thời gian nào? | 1920
Nguyễn Ái Quốc từ Liên Xô về Quảng châu (Trung Quốc) vào thời gian nào? | 11/1924
Giai cấp công nhân muốn trở thành lực lượng lãnh đạo cách mạng trước hết phải | Thành lập ra chính đảng của nó
Tại hội nghị thành lập Đảng, Ban chấp hành trung ương lâm thời được cử ra do ai đứng đầu? | Trịnh Đình Cửu
Giai cấp nào ra đời gắn với các cuộc khai thác thuộc địa của thực dân Pháp? | Giai cấp công nhân và giai cấp tư sản
Chính sách thống trị của thực dân Pháp đã tác động mạnh mẽ đến xã hội Việt Nam như thế nào ? | Làm nảy sinh mâu thuẫn vừa cơ bản, vừa chủ yếu và ngày càng gay gắt
Nguyễn Ái Quốc đã trở thành người cộng sản vào thời gian nào? | 1920
Nội dung nào sau đây nằm trong Cương lĩnh cách mạng đầu tiên của Đảng? | Đánh đổ đế quốc chủ nghĩa Pháp và bọn phong kiến, làm cho nước Nam hoàn toàn độc lập
Đâu là quan điểm của thực dân Pháp khi cai trị nước ta trên lĩnh vực kinh tế? | Làm cho Việt Nam bị lệ thuộc vào tư bản Pháp và bị kìm hãm trong vòng lạc hậu.
Dưới chế độ thực dân, phong kiến. Nhân dân Việt Nam có yêu cầu bức thiết nhất là gì? | Độc lập dân tộc
Để biến khả năng lãnh đạo trở thành hiện thực, giai cấp công nhân cần phải có các điều kiện tiên quyết gì? | Có lý luận Mác - Lênin và có Đảng cộng sản
Quy luật ra đời và phát triển của Đảng cộng sản Việt Nam được xác định là: | Chủ nghĩa Mác - Lênin kết hợp với phong trào công nhân và phong trào yêu nước Việt Nam
Nguyễn Ái Quốc đã đọc sơ thảo lần thứ nhất luận cương về vấn đề dân tộc và thuộc địa của Lênin khi nào, ở đâu? | 7/1920 - Pháp
Chính sách cai trị của thực dân Pháp trên lĩnh vực văn hóa như thế nào? | Thực hiện chính sách ngu dân, duy trì các hủ tục lạc hậu trong nhân dân ta.
Trước cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp (1897 - 1913) ở Việt Nam có những giai cấp nào? | Địa chủ và nông dân
Chủ trương điều chỉnh chiến lược cách mạng của Đảng được bắt đầu từ Hội nghị Trung ương nào của khóa I? | Hội nghị Trung ương 6 (11/1939)
Văn kiện nào sau đây của Đảng đặt nhiệm vụ chống đế quốc lên hàng đầu? | Chánh cương vắn tắt, Sách lược vắn tắt do Hội nghị thành lập Đảng thông qua
Lần đầu tiên Ban Chấp hành Trung ương Đảng tại hội nghị lần thứ 8 (5-1941) chủ trương thành lập chính quyền Nhà nước với hình thức gì? | Cộng hòa dân chủ
Nội dung nào không có trong Luận cương chính trị tháng 10 năm 1930? | Đặt nhiệm vụ chống đế quốc lên hàng đầu
Nhiệm vụ cách mạng trong giai đoạn 1936-1939 được Đảng xác định là | Chống phát xít, chống chiến tranh đế quốc, chống bọn phản động thuộc địa và tay sai
Bài học quan trọng hàng đầu được Đảng rút ra sau Cách mạng Tháng Tám là | Giương cao ngọn cờ độc lập dân tộc, kết hợp đúng đắn hai nhiệm vụ chống đế quốc và chống phong kiến.
Bài học "giương cao ngọn cờ độc lập dân tộc, kết hợp đúng đắn hai nhiệm vụ chống đế quốc và chống phong kiến" được Đảng rút ra sau thời gian nào? | Cách mạng Tháng Tám
Hồ Chí Minh đã chuẩn bị gì về tư tưởng để hướng tới thành lập Đảng Cộng sản Việt Nam? | Viết báo, xuất bản sách, ra các tờ báo nhằm truyền bá chủ nghĩa Mác - Lênin vào Việt Nam để thức tỉnh quần chúng.
Đại hội đại biểu toàn quốc lần thứ I của Đảng cộng sản Đông Dương (3-1935) bầu ai làm Tổng bí thư? | Lê Hồng Phong
Tháng 9-1940 kẻ thù nào vào xâm lược nước ta? | Phát xít Nhật
Phát xít Nhật xâm lược nước ta vào tháng, năm nào? | Tháng 9-1940
Chỉ thị "Nhật - Pháp bắn nhau và hành động của chúng ta" của Ban thường vụ trung ương Đảng ra đời khi nào? | 12/3/1945
Ngày 12/3/1945 Trung ương Đảng ra bản chỉ thị gì? | Chỉ thị "Nhật - Pháp bắn nhau và hành động của chúng ta"
Hội nghị trung ương nào của Đảng chủ trương thành lập nước Việt Nam dân chủ cộng hòa? | Hội nghị trung ương VIII tháng 5/1941
Hội nghị trung ương VIII tháng 5/1941 chủ trương gì? | Thành lập nước Việt Nam dân chủ cộng hòa
Đêm 9/3/1945, Nhật đảo chính Pháp, ngày 12/3/1945, ai đã ra Bản Chỉ thị "Nhật Pháp bắn nhau và hành động của chúng ta" | Thường vụ Trung ương Đảng
Mặt trận Việt Nam độc lập đồng minh được thành lập năm nào? | 1941
Chánh cương vắn tắt, Sách lược vắn tắt do Hội nghị thành lập Đảng thông qua đã đặt nhiệm vụ gì nên hàng đầu?Văn kiện nào sau đây của Đảng đặt lên hàng đầu? | Nhiệm vụ chống đế quốc
Nguyên nhân thắng lợi quyết định của Cách mạng Tháng Tám được xác định là: | Sự lãnh đạo của Đảng
Giai đoạn 1936-1939, Đảng xác định nhiệm vụ của cách mạng Đông Đương là | Đấu tranh đòi tự do, dân chủ cơm áo và hòa bình
